Latitude: 0
Longitude: 0

  TEMPO--> PRESSAO
   0.01--> 0.00416578
2.00998--> 0.837314
4.00996--> 1.67046
6.00994--> 2.50361
8.00992--> 3.33676
10.0099--> 4.16991
12.0099--> 5.00306
14.0099--> 5.83621
16.0098--> 6.66935
18.0098-->  7.5025
20.0098--> 8.33565
22.0098-->  9.1688
24.0098--> 10.0019
26.0097--> 10.8351
28.0097--> 11.6682
30.0097--> 12.5014
32.0097--> 13.3345
34.0097--> 14.1677
36.0096--> 15.0008
38.0096-->  15.834
40.0096--> 16.6671
42.0096--> 17.5003
44.0096--> 18.3334
46.0095--> 19.1666
48.0095--> 19.9997
50.0095--> 20.8329
52.0095-->  21.666
54.0095--> 22.4992
56.0094--> 23.3323
58.0094--> 24.1655
60.0094--> 24.9986
62.0094--> 25.8318
64.0094--> 26.6649
66.0093--> 27.4981
68.0093--> 28.3312
70.0093--> 29.1644
72.0093--> 29.9975
74.0093--> 30.8307
76.0092--> 31.6638
78.0092-->  32.497
80.0092--> 33.3301
82.0092--> 34.1633
84.0092--> 34.9964
86.0091--> 35.8296
88.0091--> 36.6627
90.0091--> 6.40613
92.0091--> 6.41136
94.0091--> 6.41647
 96.009--> 6.42148
 98.009--> 6.42639
100.009--> 6.43119
102.009-->  6.4359
104.009--> 6.44052
106.009--> 6.44505
108.009-->  6.4495
110.009--> 6.45386
112.009--> 6.45815
114.009--> 6.46236
116.009--> 6.46649
118.009--> 6.47056
120.009--> 6.47456
122.009--> 6.47849
124.009--> 6.48236
126.009--> 6.48616
128.009--> 6.48991
130.009-->  6.4936
132.009--> 6.49723
134.009-->  6.5008
136.009--> 6.50433
138.009-->  6.5078
140.009--> 6.51122
142.009-->  6.5146
144.009--> 6.51792
146.009-->  6.5212
148.009--> 6.52444
150.008--> 6.52763
152.008--> 6.53078
154.008--> 6.53389
156.008--> 6.53696
158.008--> 6.53999
160.008--> 6.54298
162.008--> 6.54594
164.008--> 6.54886
166.008--> 6.55174
168.008--> 6.55459
170.008-->  6.5574
172.008--> 6.56019
174.008--> 6.56294
176.008--> 6.56565
178.008--> 6.56834
180.008-->   6.571
182.008--> 6.57363
184.008--> 6.57623
186.008-->  6.5788
188.008--> 6.58134
190.008--> 6.58386
192.008--> 6.58635
194.008--> 6.58882
196.008--> 6.59126
198.008--> 6.59367
200.008--> 6.59606
202.008--> 6.59843
204.008--> 6.60077
206.008--> 6.60309
208.008--> 6.60539
210.008--> 6.60767
212.008--> 6.60992
214.008--> 6.61216
216.008--> 6.61437
218.008--> 6.61656
220.008--> 6.61873
222.008--> 6.62089
224.008--> 6.62302
226.008--> 6.62513
228.008--> 6.62723
230.008--> 6.62931
232.008--> 6.63137
234.008--> 6.63341
236.008--> 6.63543
238.008--> 6.63744
240.008--> 6.63943
242.008-->  6.6414
244.008--> 6.64336
246.008-->  6.6453
248.008--> 6.64723
250.007--> 6.64914
252.007--> 6.65103
254.007--> 6.65292
256.007--> 6.65478
